sciname,lat,lon,source
Ctenomys pearsoni,-34.35,-53.84,"Mammals of South America, Volume 2, Rodentia"
Ctenomys pearsoni,-34.57,-57.00,"Mammals of South America, Volume 2, Rodentia"
Ctenomys pearsoni,-34.79,-56.36,"Mammals of South America, Volume 2, Rodentia"
Ctenomys pearsoni,-34.73,-56.40,"Mammals of South America, Volume 2, Rodentia"
Ctenomys pearsoni,-33.83,-58.42,"Mammals of South America, Volume 2, Rodentia"
Ctenomys perrensi,-28.27,-58.92,"Mammals of South America, Volume 2, Rodentia"
Ctenomys perrensi,-29.15,-59.26,"Mammals of South America, Volume 2, Rodentia"
Ctenomys porteousi,-36.48,-61.57,"Mammals of South America, Volume 2, Rodentia"
Ctenomys porteousi,-36.56,-62.60,"Mammals of South America, Volume 2, Rodentia"
Ctenomys porteousi,-36.60,-61.75,"Mammals of South America, Volume 2, Rodentia"
Ctenomys porteousi,-36.81,-62.25,"Mammals of South America, Volume 2, Rodentia"
Ctenomys porteousi,-36.90,-62.35,"Mammals of South America, Volume 2, Rodentia"
Ctenomys pulcer,-38.95,-61.26,Verzi DH et al. (2023) A new species of the highly polytypic South American rodent Ctenomys increases the diversity of the magellanicus clade. Vertebrate Zoolgy 73 289–312. https://doi.org/10.3897/vz.73.e96656
Ctenomys pundti,-32.47,-63.32,"Mammals of South America, Volume 2, Rodentia"
Ctenomys pundti,-33.39,-66.01,"Mammals of South America, Volume 2, Rodentia"
Ctenomys pundti,-33.42,-63.30,"Mammals of South America, Volume 2, Rodentia"
Ctenomys pundti,-33.54,-63.32,"Mammals of South America, Volume 2, Rodentia"
Ctenomys pundti,-33.61,-62.62,"Mammals of South America, Volume 2, Rodentia"
Ctenomys rionegrensis,-31.39,-58.02,"Mammals of South America, Volume 2, Rodentia"
Ctenomys rionegrensis,-31.42,-58.42,"Mammals of South America, Volume 2, Rodentia"
Ctenomys rionegrensis,-31.79,-58.31,"Mammals of South America, Volume 2, Rodentia"
Ctenomys rionegrensis,-31.84,-58.32,"Mammals of South America, Volume 2, Rodentia"
Ctenomys rionegrensis,-31.88,-58.29,"Mammals of South America, Volume 2, Rodentia"
Ctenomys rionegrensis,-32.62,-60.15,"Mammals of South America, Volume 2, Rodentia"
Ctenomys rionegrensis,-32.88,-57.97,"Mammals of South America, Volume 2, Rodentia"
Ctenomys rionegrensis,-33.05,-57.72,"Mammals of South America, Volume 2, Rodentia"
Ctenomys rionegrensis,-33.19,-58.36,"Mammals of South America, Volume 2, Rodentia"
Ctenomys rionegrensis,-33.23,-58.02,"Mammals of South America, Volume 2, Rodentia"
Ctenomys rionegrensis,-33.36,-58.31,"Mammals of South America, Volume 2, Rodentia"
Ctenomys rionegrensis,-33.71,-59.03,"Mammals of South America, Volume 2, Rodentia"
Ctenomys roigi,-27.48,-56.73,"Mammals of South America, Volume 2, Rodentia"
Ctenomys roigi,-27.95,-58.81,"Mammals of South America, Volume 2, Rodentia"
Ctenomys roigi,-28.03,-58.82,"Mammals of South America, Volume 2, Rodentia"
Ctenomys roigi,-28.17,-59.82,"Mammals of South America, Volume 2, Rodentia"
Ctenomys rosendopascuali,-30.63,-63.89,"Mammals of South America, Volume 2, Rodentia"
Ctenomys rosendopascuali,-30.80,-62.88,"Mammals of South America, Volume 2, Rodentia"
Ctenomys rosendopascuali,-30.84,-63.80,"Mammals of South America, Volume 2, Rodentia"
Ctenomys talarum,-24.78,-65.42,"Mammals of South America, Volume 2, Rodentia"
Ctenomys talarum,-26.07,-65.98,"Mammals of South America, Volume 2, Rodentia"
Ctenomys talarum,-26.19,-65.94,"Mammals of South America, Volume 2, Rodentia"
Ctenomys torquatus,-29.40,-56.63,Mamíferos do Rio Grande do Sul
Ctenomys torquatus,-29.53,-56.60,Mamíferos do Rio Grande do Sul
Ctenomys torquatus,-29.88,-54.80,Mamíferos do Rio Grande do Sul
Ctenomys torquatus,-29.92,-51.88,Mamíferos do Rio Grande do Sul
Ctenomys torquatus,-29.92,-53.73,Mamíferos do Rio Grande do Sul
Ctenomys torquatus,-30.10,-52.92,Mamíferos do Rio Grande do Sul
Ctenomys torquatus,-30.10,-54.33,Mamíferos do Rio Grande do Sul
Ctenomys torquatus,-30.12,-51.95,Mamíferos do Rio Grande do Sul
Ctenomys torquatus,-30.13,-52.03,Mamíferos do Rio Grande do Sul
Ctenomys torquatus,-31.33,-54.00,Mamíferos do Rio Grande do Sul
Ctenomys torquatus,-31.77,-52.40,Mamíferos do Rio Grande do Sul
Ctenomys torquatus,-31.90,-52.28,Mamíferos do Rio Grande do Sul
Ctenomys torquatus,-32.53,-52.53,Mamíferos do Rio Grande do Sul
Ctenomys torquatus,-28.13,-56.55,"Mammals of South America, Volume 2, Rodentia"
Ctenomys torquatus,-29.68,-53.81,"Mammals of South America, Volume 2, Rodentia"
Ctenomys torquatus,-29.78,-55.77,"Mammals of South America, Volume 2, Rodentia"
Ctenomys torquatus,-29.91,-51.76,"Mammals of South America, Volume 2, Rodentia"
Ctenomys torquatus,-30.04,-52.89,"Mammals of South America, Volume 2, Rodentia"
Ctenomys torquatus,-30.12,-51.96,"Mammals of South America, Volume 2, Rodentia"
Ctenomys torquatus,-30.39,-56.45,"Mammals of South America, Volume 2, Rodentia"
Ctenomys torquatus,-30.98,-54.67,"Mammals of South America, Volume 2, Rodentia"
Ctenomys torquatus,-31.56,-53.67,"Mammals of South America, Volume 2, Rodentia"
Ctenomys torquatus,-31.77,-52.34,"Mammals of South America, Volume 2, Rodentia"
Ctenomys torquatus,-32.04,-52.10,"Mammals of South America, Volume 2, Rodentia"
Ctenomys torquatus,-32.49,-52.58,"Mammals of South America, Volume 2, Rodentia"
Ctenomys yolandae,-29.15,-59.65,"Mammals of South America, Volume 2, Rodentia"
Ctenomys yolandae,-30.47,-61.72,"Mammals of South America, Volume 2, Rodentia"
Ctenomys yolandae,-30.66,-60.23,"Mammals of South America, Volume 2, Rodentia"
Ctenomys yolandae,-31.10,-60.09,"Mammals of South America, Volume 2, Rodentia"
Ctenomys yolandae,-31.60,-60.57,"Mammals of South America, Volume 2, Rodentia"
Ctenomys yolandae,-31.97,-60.92,"Mammals of South America, Volume 2, Rodentia"
Deltamys kempi,-29.32,-49.77,Mamíferos do Rio Grande do Sul
Deltamys kempi,-29.88,-50.27,Mamíferos do Rio Grande do Sul
Deltamys kempi,-29.90,-50.27,Mamíferos do Rio Grande do Sul
Deltamys kempi,-29.95,-51.62,Mamíferos do Rio Grande do Sul
Deltamys kempi,-30.67,-51.38,Mamíferos do Rio Grande do Sul
Deltamys kempi,-31.87,-54.15,Mamíferos do Rio Grande do Sul
Deltamys kempi,-32.48,-52.57,Mamíferos do Rio Grande do Sul
Deltamys kempi,-32.53,-52.55,Mamíferos do Rio Grande do Sul
Deltamys kempi,-34.00,-53.50,"Mammals of South America, Volume 2, Rodentia"
Deltamys kempi,-33.00,-53.67,"Mammals of South America, Volume 2, Rodentia"
Deltamys kempi,-29.33,-49.73,"Mammals of South America, Volume 2, Rodentia"
Deltamys kempi,-29.34,-49.73,"Mammals of South America, Volume 2, Rodentia"
Deltamys kempi,-29.50,-49.92,"Mammals of South America, Volume 2, Rodentia"
Deltamys kempi,-29.89,-50.27,"Mammals of South America, Volume 2, Rodentia"
Deltamys kempi,-29.90,-50.27,"Mammals of South America, Volume 2, Rodentia"
Deltamys kempi,-29.95,-51.62,"Mammals of South America, Volume 2, Rodentia"
Deltamys kempi,-30.40,-51.23,"Mammals of South America, Volume 2, Rodentia"
Deltamys kempi,-31.50,-55.50,"Mammals of South America, Volume 2, Rodentia"
Deltamys kempi,-31.67,-55.83,"Mammals of South America, Volume 2, Rodentia"
Deltamys kempi,-32.49,-52.58,"Mammals of South America, Volume 2, Rodentia"
Deltamys kempi,-33.67,-54.33,"Mammals of South America, Volume 2, Rodentia"
Deltamys kempi,-33.78,-58.78,"Mammals of South America, Volume 2, Rodentia"
Deltamys kempi,-34.15,-58.95,"Mammals of South America, Volume 2, Rodentia"
Deltamys kempi,-34.35,-53.87,"Mammals of South America, Volume 2, Rodentia"
Deltamys kempi,-34.42,-57.88,"Mammals of South America, Volume 2, Rodentia"
Deltamys kempi,-34.48,-56.85,"Mammals of South America, Volume 2, Rodentia"
Deltamys kempi,-34.60,-58.45,"Mammals of South America, Volume 2, Rodentia"
Deltamys kempi,-34.75,-55.84,"Mammals of South America, Volume 2, Rodentia"
Deltamys kempi,-34.82,-56.35,"Mammals of South America, Volume 2, Rodentia"
Deltamys kempi,-35.13,-57.38,"Mammals of South America, Volume 2, Rodentia"
Deltamys kempi,-36.37,-56.83,"Mammals of South America, Volume 2, Rodentia"
Histiotus alienus,-26.50,-51.67,https://doi.org/10.3897/zookeys.1174.108553
Histiotus alienus,-26.30,-48.85,https://doi.org/10.3897/zookeys.1174.108553
Holochilus vulpinus,-26.58,-58.13,"Mammals of South America, Volume 2, Rodentia"
Holochilus vulpinus,-26.83,-59.67,"Mammals of South America, Volume 2, Rodentia"
Holochilus vulpinus,-26.91,-59.53,"Mammals of South America, Volume 2, Rodentia"
Holochilus vulpinus,-27.42,-55.02,"Mammals of South America, Volume 2, Rodentia"
Holochilus vulpinus,-28.13,-56.55,"Mammals of South America, Volume 2, Rodentia"
Holochilus vulpinus,-30.73,-60.98,"Mammals of South America, Volume 2, Rodentia"
Holochilus vulpinus,-30.91,-62.83,"Mammals of South America, Volume 2, Rodentia"
Holochilus vulpinus,-34.82,-56.35,"Mammals of South America, Volume 2, Rodentia"
Holochilus vulpinus,-34.82,-57.97,"Mammals of South America, Volume 2, Rodentia"
Holochilus vulpinus,-35.10,-62.35,"Mammals of South America, Volume 2, Rodentia"
Holochilus vulpinus,-35.63,-62.23,"Mammals of South America, Volume 2, Rodentia"
Holochilus vulpinus,-36.58,-56.69,"Mammals of South America, Volume 2, Rodentia"
Holochilus vulpinus,-38.20,-57.79,"Mammals of South America, Volume 2, Rodentia"
Holochilus vulpinus,-38.22,-57.78,"Mammals of South America, Volume 2, Rodentia"
Holochilus vulpinus,-38.62,-63.03,"Mammals of South America, Volume 2, Rodentia"
Holochilus vulpinus,-38.73,-62.27,"Mammals of South America, Volume 2, Rodentia"
Holochilus vulpinus,-39.69,-62.67,"Mammals of South America, Volume 2, Rodentia"
Leopardus munoai,-31.35,-52.08,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-31.36,-52.08,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-30.15,-52.13,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-30.21,-52.62,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-30.22,-52.62,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-31.00,-52.69,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-32.08,-52.72,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-30.27,-52.85,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-31.10,-52.96,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-30.30,-53.14,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-30.31,-53.17,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-32.37,-53.19,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-33.31,-53.38,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-31.55,-53.43,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-31.53,-53.48,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-33.69,-53.54,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-30.15,-53.55,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-30.21,-53.56,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-30.20,"-53,563.00",https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-30.17,-53.58,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-31.83,-53.59,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-30.12,-53.62,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-30.37,-53.67,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-30.04,-53.68,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-31.41,-53.73,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-32.13,-53.76,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-31.38,-53.77,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-31.11,-53.78,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-30.34,-53.97,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-31.31,-53.99,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-32.32,-53.99,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-31.81,-54.00,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-30.34,-54.06,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-34.29,-54.07,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-31.32,-54.12,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-30.35,-54.13,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-31.87,-54.17,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-31.23,-54.25,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-30.36,-54.30,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-30.36,-54.30,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-31.19,-54.31,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-31.39,-54.34,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-34.65,-54.35,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-31.40,-54.39,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-34.59,-54.41,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-32.17,-54.53,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-30.92,-54.55,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-31.04,-54.56,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-29.65,-54.56,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-29.67,-54.57,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-29.66,-54.60,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-31.02,-54.60,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-30.22,-54.66,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-30.98,-54.67,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-29.95,-54.67,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-29.77,-54.68,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-29.72,-54.77,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-29.77,-54.80,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-30.25,-54.82,https://doi.org/10.1016/j.jnc.2021.126009
Leopardus munoai,-30.88,-54.85,https://doi.org/10.1016/j.jnc.2021.126009
